Component,Rxn Vol. (µL)
NFW,5.53
SYBR Green Mastermix,7.5
TruSeq oligo (10 µM),0.07
Any ILL-BC  oligo (1 µM ),0.7
P5 (10 µM),0.1
P7 (10 µM),0.1
Total:,14 
