Component,1 rxn (µL)
NFW,15
10X *T4* ligase buffer w/ 10 mM ATP,2
Adaptor 1 (5 μM),1
Adaptor 2 (5 μM; **1 per plate column**),1
*T4* DNA ligase,1
Total:,20 
